Title,Authors,Year,DOI,PubMed IDs,Full Authors,distr,Cited By Count
Biobibliometrics: information retrieval and visualization from co-occurrences of gene names in Medline abstracts.,B.J. Stapley and G. Benoit,2000,10.1142/9789814447331_0050,10902200,"{6602289874: 'Benjamin J. Stapley', 7201904689: 'Gerald BenoÃ®t'}","[4.5481175e-02 7.3970999e-03 1.2457888e-01 5.1999413e-03 7.3238611e-05
 6.6720374e-02 9.5942579e-03 7.3970999e-03 7.7706166e-02 4.9589860e-01
 7.3238611e-05 7.3238611e-05 1.1359309e-01 4.6213564e-02]",183
Automatic extraction of protein interactions from scientific abstracts.,"J. Thomas, D. Milward, C. Ouzounis, S. Pulman, and M. Carroll",2000,10.1142/9789814447331_0051,10902201,"{57198922442: 'James Thomas', 6507067464: 'David Milward', 7005683039: 'Christos A. Ouzounis', 6602103357: 'Pulman G. Stephen G.', 57213051133: 'M. Carroll'}","[2.0990765e-04 1.4903443e-02 3.1926954e-01 2.0990765e-04 9.6767418e-02
 2.0990765e-04 2.0990765e-04 2.0990765e-04 8.4172964e-02 4.0323260e-01
 2.7497903e-02 2.0990765e-04 3.5894208e-02 1.7002519e-02]",143
Compound acquisition strategies.,J.B. Dunbar,2000,10.1142/9789814447331_0053,10902203,{7103173286: 'James B. Dunbar'},"[1.1947296e-01 1.5303001e-01 3.0008882e-01 4.9348600e-05 3.0151993e-02
 1.9398934e-01 4.9348600e-05 4.2489141e-02 5.4283458e-04 1.5105607e-01
 6.4646667e-03 4.9348600e-05 2.5167784e-03 4.9348600e-05]",5
Searching for molecules with similar biological activity: analysis by fingerprint profiling.,"J.W. Godden, L. Xue, F.L. Stahura, and J. Bajorath",2000,10.1142/9789814447331_0054,10902204,"{7006130396: 'Jeffrey W. Godden', 7201871955: 'Ling Xue', 6701761579: 'Florence L. Stahura', 7101742328: 'JÃ¼rgen Bajorath'}",,16
Library design and virtual screening using multiple 4-point pharmacophore fingerprints.,J.S. Mason and D.L. Cheney,2000,10.1142/9789814447331_0055,10902205,"{7403552754: 'Jonathan S. Mason', 19233733000: 'Daniel L. Cheney'}","[5.4333293e-01 5.5028565e-02 1.3210090e-01 5.3896732e-05 5.9286406e-04
 3.8320575e-02 5.3896732e-05 5.3896732e-05 5.3896732e-05 2.0863426e-01
 5.3896732e-05 5.3896732e-05 2.1612588e-02 5.3896732e-05]",53
PICCOLO: a tool for combinatorial library design via multicriterion optimization.,"W. Zheng, S. T. Hung, J. T. Saunders, and G. L. Seibel",2000,10.1142/9789814447331_0056,10902206,"{55984209600: 'W. Zheng', 7201936126: 'S. T. Hung', 57224840361: 'J. T. Saunders', 6602805992: 'George L. Seibel'}","[1.14474565e-01 1.96123078e-01 2.49444574e-01 5.55432125e-05
 1.44967781e-02 3.72750491e-01 5.55432125e-05 5.60986483e-03
 5.55432125e-05 3.33814695e-02 7.83159304e-03 5.55432125e-05
 4.49900050e-03 1.16640737e-03]",36
Information dynamics of in vitro selection-amplification systems.,T.G. Dewey,2000,10.1142/9789814447331_0058,10902208,{8097985900: 'Thomas Gregory Dewey'},,2
Average mutual information of coding and noncoding DNA.,"I. Grosse, S.V. Buldyrev, H. E. Stanley, D. Holste, and H. Herzel",2000,10.1142/9789814447331_0059,10902209,"{55148735800: 'Ivo Grosse', 35396328400: 'Sergey V. Buldyrev', 35375959000: 'H. Eugene Stanley', 6602107636: 'Dirk Holste', 7006726820: 'Hanspeter Herzel'}","[7.12555193e-05 1.43223600e-02 1.14721395e-02 7.12555193e-05
 7.12555193e-05 1.39019519e-01 7.83810741e-04 7.12555193e-05
 2.91506350e-01 7.12555193e-05 2.92860176e-02 7.12555193e-05
 7.90936314e-03 5.05272865e-01]",16
Finite-temperature sequence alignment.,M. Kschischo and M. LÃ¤ssig,2000,10.1142/9789814447331_0060,10902210,"{55931853100: 'Maik Kschischo', 7003730889: 'Michael LÃ¤ssig'}","[6.4253442e-02 2.3240607e-02 5.9438898e-05 5.9438898e-05 5.9438898e-05
 2.1522824e-01 5.9438898e-05 5.9438898e-05 3.7571326e-01 6.5382785e-04
 5.9438898e-05 5.9438898e-05 6.5977178e-03 3.1389681e-01]",16
ALFRED: a Web-accessible allele frequency database.,"K-H. Cheung, P.L. Miller, J.R. Kidd, K.K. Kidd, M.V. Osier, and A. J. Pakstis",2000,10.1142/9789814447331_0062,10902212,"{7402406608: 'Kei-Hoi Hoi Cheung', 7404427805: 'Perry L. Miller', 7102576567: 'Judith R. Kidd', 35292270000: 'Kenneth K. Kidd', 6603561465: 'Michael V. Osier', 7003963252: 'Andrew J. Pakstis'}","[4.8385556e-03 4.7906491e-05 2.5491041e-01 4.7906491e-05 1.6815176e-02
 4.7906491e-05 4.5276421e-01 4.7906491e-05 4.7906491e-05 2.7024049e-01
 4.7906491e-05 4.7906491e-05 4.7906491e-05 4.7906491e-05]",19
ALFRED: a Web-accessible allele frequency database.,"K-H. Cheung, P.L. Miller, J.R. Kidd, K.K. Kidd, M.V. Osier, and A. J. Pakstis",2000,10.1142/9789814447331_0062,10902212,"{7402406608: 'Kei-Hoi Hoi Cheung', 7404427805: 'Perry L. Miller', 7102576567: 'Judith R. Kidd', 35292270000: 'Kenneth K. Kidd', 6603561465: 'Michael V. Osier', 7003963252: 'Andrew J. Pakstis'}","[1.2047615e-02 4.7998466e-05 2.6499951e-01 4.7998466e-05 6.2877992e-03
 1.4879524e-03 4.3539408e-01 4.7998466e-05 4.7998466e-05 2.7939907e-01
 4.7998466e-05 4.7998466e-05 4.7998466e-05 4.7998466e-05]",19
Linkage disequilibrium mapping using single nucleotide polymorphisms--which population?,A. Collins,2000,10.1142/9789814447331_0063,10902213,{56820336900: 'Andrew R. Collins'},,2
An analytic solution to single nucleotide polymorphism error-detection rates in nuclear families: implications for study design.,"D. Gordon, S.M. Leal, S.C. Heath, and J. Ott",2000,10.1142/9789814447331_0064,10902214,"{57191983024: 'Derek Gordon', 57663931800: 'Suzanne M. Leal', 57202147571: 'Simon C. Heath', 7202757548: 'JÃ¼rg Ott'}",,22
The haplotype linkage disequilibrium test for genome-wide screens: its power and study design.,"M. Xiong, J. Akey, and L. Jin",2000,10.1142/9789814447331_0065,10902215,"{7102692781: 'Momiao Xiong', 6601938072: 'Joshua M. Akey', 36815180100: 'Li Jin'}","[6.0481430e-05 6.0481430e-05 4.3607112e-02 6.0481430e-05 6.0481430e-05
 6.1146725e-02 7.1616060e-01 4.8989961e-03 1.7182775e-01 6.6529575e-04
 6.0481430e-05 1.2701100e-03 6.0481430e-05 6.0481430e-05]",3
Determining significant fold differences in gene expression analysis.,"A. J. Butte, J.Ye, G. Niederfellner, K. Rett, H.U. HÃ¤ring, M.F.White, and I. S. Kohane",2001,10.1142/9789814447362_0002,11262977,"{7003333396: 'Atul Janardhan Butte', 57209949610: 'J. Ye', 36038728300: 'Hans Ulrich á¸¦aring', 56965303600: 'Michael W. Stumvoll', 58358930900: 'M. F. White', 35264289500: 'Isaac S. Kohane'}",,74
Assessment and management of single nucleotide polymorphism genotype errors in genetic association analysis.,D. Gordon and J. Ott,2001,10.1142/9789814447362_0003,11262939,"{57191983024: 'Derek Gordon', 7202757548: 'JÃ¼rg Ott'}",,58
Unsupervised learning from complex data: the matrix incision tree algorithm.,"J.H. Kim, L. Ohno-Machado, and I.S. Kohane",2001,10.1142/9789814447362_0004,11262950,"{59089613100: 'J. H. Kim', 7005192335: 'Lucila Ohno-Machado', 35264289500: 'Isaac S. Kohane'}","[4.3021857e-05 4.7324045e-04 1.3900362e-01 4.3021857e-05 3.0545518e-03
 1.9192050e-01 4.3021857e-05 3.3346242e-01 2.4483737e-01 6.4963005e-03
 6.4145595e-02 9.0345897e-04 7.3567377e-03 8.2171746e-03]",5
Mutual information analysis as a tool to assess the role of aneuploidy in the generation of cancer-associated differential gene expression patterns.,"G.T. Klus, A. Song, A. Schick, M. Wahde, and Z. Szallasi",2001,10.1142/9789814447362_0005,11262960,"{6603019029: 'Gregory T. Klus', 57210005095: 'A. Song', 57197514931: 'A. Schick', 6603051757: 'Mattias Wahde', 57203030767: 'ZoltÃ¡n SzÃ¡llÃ¡si'}",,6
A nonparametric scoring algorithm for identifying informative genes from microarray data.,"P.J. Park, M. Pagano, and M. Bonetti",2001,10.1142/9789814447362_0006,11262969,"{7202425142: 'Peter J. Park', 7201963140: 'Marcello A. Pagano', 7005726218: 'Marco Bonetti'}",,113
An NMR-based quenched hydrogen exchange investigation of model amyloid fibrils formed by cold shock protein A.,A.T. Alexandrescu,2001,10.1142/9789814447362_0008,11262979,{7003925673: 'Andrei T. Alexandrescu'},,37
Collective reorientational motion and nuclear spin relaxation in proteins.,"J.J. Prompers, S.F. Lienin, and R. BrÃ¼schweiler",2001,10.1142/9789814447362_0009,11262980,"{6601895167: 'Jeanine Josephine Prompers', 6602252108: 'S. F. Lienin', 7005295326: 'Rafael P. BrusÌchweiler'}","[3.4760597e-01 1.4595847e-01 6.1867166e-02 8.5807449e-05 8.5807449e-05
 1.4595847e-01 8.5807449e-05 6.2725239e-02 1.7255878e-01 2.6600307e-03
 8.5807449e-05 8.5807449e-05 6.0151018e-02 8.5807449e-05]",6
The protein non-folding problem: amino acid determinants of intrinsic order and disorder.,"R.M. Williams, Z. Obradovic, V. Mathura, W. Braun, E.C. Garner, J. Young, S. Takayama, C. J. Brown, and A.K. Dunker",2001,10.1142/9789814447362_0010,11262981,"{55495822700: 'Ryan M. Williams', 7003963489: 'Zoran ObradoviÄ', 6602820077: 'Venkatarajan Subramanian Mathura', 7202783415: 'Werner A. Braun', 7005698486: 'Ethan Clark Garner', 57210007560: 'J. Young', 7202979528: 'Sachiko Takayama', 57203599466: 'Celeste Jane Brown', 7005069650: 'A. Keith Dunker'}",,205
Stress-induced DNA duplex destabilization in transcriptional initiation.,C.J. Benham,2001,10.1142/9789814447362_0012,11262932,{7005616815: 'Craig J. Benham'},,5
SAMIE: statistical algorithm for modeling interaction energies.,"P.V. Benos, A.S. Lapedes, D.S. Fields, and G.D. Stormo",2001,10.1142/9789814447362_0013,11262933,"{7003299594: 'Panayiotis V. Benos', 22976305000: 'Alan S. Lapedes', 7005488873: 'Dana S. Fields', 7005191518: 'Gary D. Stormo'}",,22
BioProspector: discovering conserved DNA motifs in upstream regulatory regions of co-expressed genes.,"X. Liu, D.L. Brutlag, and J.S. Liu",2001,10.1142/9789814447362_0014,11262934,"{35233881000: 'Xiaole Shirley Liu', 7006021717: 'Douglas Lee Brutlag', 55886002200: 'Jun S. Liu'}",,674
A structure-based approach for prediction of protein binding sites in gene upstream regions.,"Y. Mandel-Gutfreund, A. Baron, and H. Margalit",2001,10.1142/9789814447362_0015,11262935,"{6602654834: 'Yael Mandel-Gutfreund', 57210043619: 'A. Baron', 7003661401: 'Hanah Margalit'}",,30
Promoter region-based classification of genes.,"P. Pavlidis, T. S. Furey, M. Liberto, D. Haussler, and W. N. Grundy",2001,10.1142/9789814447362_0016,11262936,"{7004159655: 'Paul Pavlidis', 6602302257: 'Terrence S. Furey', 57210005306: 'M. Liberto', 7006637893: 'David H. Haussler', 7102482003: 'William Stafford Noble'}","[2.4949607e-01 9.4789356e-02 2.0207619e-02 5.0393068e-05 5.0393068e-05
 1.5425317e-01 5.0393068e-05 2.8774440e-02 1.8801653e-01 4.5857690e-03
 9.9324733e-02 5.0393068e-05 8.7734327e-02 7.2616413e-02]",50
Nucleotide substitutions and the evolution of duplicate genes.,J.S. Conery and M. Lynch,2001,10.1142/9789814447362_0018,11262937,"{6602076897: 'John S. Conery', 57191102779: 'Michael Lynch'}","[1.1305849e-01 4.2429630e-02 6.1263993e-02 5.2317671e-05 5.2317671e-05
 1.6432981e-01 5.2317671e-05 5.2317671e-05 2.1926337e-01 5.2840849e-03
 5.2317671e-05 9.4694989e-03 3.4058806e-02 3.5058072e-01]",23
An algorithm for statistical alignment of sequences related by a binary tree.,J. Hein,2001,10.1142/9789814447362_0019,11262938,{7103275229: 'Jotun J. Hein'},"[2.1050623e-02 7.9559907e-02 7.7651992e-02 8.3312131e-03 6.3597050e-05
 2.9318238e-02 6.3597050e-05 6.3597050e-05 6.0550749e-01 6.3597050e-05
 6.3597050e-05 6.9956755e-04 5.1513612e-03 1.7241161e-01]",34
Analyzing site heterogeneity during protein evolution.,K.M. Koshi and R.A. Goldstein,2001,10.1142/9789814447362_0020,11262940,"{6603321737: 'Jeffrey M. Koshi', 7403005698: 'Richard A. Goldstein'}",,15
Markov chain Monte Carlo computation of confidence intervals for substitution-rate variation in proteins.,A. Rzhetsky and P. Morozov,2001,10.1142/9789814447362_0021,11262941,"{35465167600: 'Andrey Rzhetsky', 57200898014: 'Pavel S. Morozov'}",,10
A model for phylogenetic inference using structural and chemical covariates.,"S. TavarÃ©, D.C. Adams, O. Fedrigo, and G.J.P. Naylor",2001,10.1142/9789814447362_0022,11262942,"{7003693973: 'Simon TavarÃÂ©', 7404054540: 'Dean C. Adams', 6508367810: 'Olivier D. FÃ©drigo', 35725948500: 'Gavin J.P. Naylor'}","[2.71458298e-01 1.30917290e-02 8.67001872e-05 3.55470763e-03
 4.17027883e-02 4.11045611e-01 1.39587307e-02 2.34957524e-02
 1.00658916e-01 8.67001872e-05 8.67001872e-05 8.67001872e-05
 1.30917290e-02 1.07594930e-01]",1
Maximum likelihood analysis of adaptive evolution in HIV-1 gp120 env gene.,Z. Yang,2001,10.1142/9789814447362_0023,11262943,{8148132700: 'Ziheng Yang'},,26
ViewFeature: integrated feature analysis and visualization.,"D.R. Banatao, C.C. Huang, P.C. Babbitt, R.B. Altman, and T.E. Klein",2001,10.1142/9789814447362_0025,11262944,"{6602704405: 'Diosdado Rey Banatao', 7406883219: 'Conrad C. Huang', 7003654933: 'Patricia Clement Babbitt', 7202798518: 'Russ B. Altman', 7202313665: 'Teri E. Klein'}","[5.1062781e-01 6.0808593e-03 2.4164566e-01 4.4373837e-03 1.0463460e-02
 7.8393780e-02 5.4782515e-05 5.4782515e-05 5.4782515e-05 2.8541688e-02
 8.0037251e-02 5.4782515e-05 3.8402539e-02 1.1504327e-03]",3
Analyzing sensory systems with the information distortion function.,A.G. Dimitrov and J.P. Miller,2001,10.1142/9789814447362_0026,11262945,"{7101600976: 'Alexander G. Dimitrov', 56284264900: 'John P. Miller'}","[6.04448760e-05 2.30355412e-01 1.60843804e-01 1.26934226e-03
 6.64893596e-04 1.54194877e-01 6.04448760e-05 1.57761127e-02
 3.07724863e-01 1.27538685e-02 6.59453571e-02 6.04448760e-05
 3.14917788e-02 1.87983550e-02]",0
Sequence analysis with the Kestrel SIMD parallel processor.,"L. Grate, M. Diekhans, D. Dahle, and R. Hughey",2001,10.1142/9789814447362_0027,11262946,"{6603569142: 'Leslie R. Grate', 6603643549: 'M. E. Diekhans', 6603229086: 'David M. Dahle', 7006104607: 'Richard Hughey'}","[1.6671285e-02 1.1549830e-01 1.7091532e-01 4.6180849e-05 4.6180849e-05
 4.6180849e-05 1.0205967e-02 4.6180849e-05 3.7549645e-01 5.3154152e-02
 4.6180849e-05 5.0798932e-04 1.4362243e-02 2.4295743e-01]",17
A new algorithm for the alignment of multiple protein structures using Monte Carlo optimization.,"C. Guda, E. D. Scheeff, P. E. Bourne, and I. N. Shindyalov",2001,10.1142/9789814447362_0028,11262947,"{6603526763: 'Chittibabu Guda', 6506979493: 'Eric D. Scheeff', 35458582500: 'Philip E. Bourne', 6701407906: 'Ilya N. Shindyalov'}",,57
Gene verification and discovery by Walking Tree Method.,T. Hsu and P. Cull,2001,10.1142/9789814447362_0029,11262948,"{7401792009: 'Tai Hsu', 7003835102: 'Paul Cull'}","[1.1470677e-02 1.5268915e-02 1.2465816e-01 7.5964752e-05 7.5964752e-05
 7.0723183e-02 7.5964752e-05 7.5964752e-05 2.7886662e-01 7.3761769e-02
 9.1917347e-03 2.8942568e-02 8.3561230e-04 3.8597691e-01]",5
Predicting gene function from gene expressions and ontologies.,"T.R. Hvidsten, J. Komorowski, A.K. Sandvik, and A. LÃ¦greid",2001,10.1142/9789814447362_0030,11262949,"{6506415063: 'Torgeir R. Hvidsten', 18344289500: 'Jan Komorowski', 7006758487: 'Arne Kristian Sandvik', 6603925688: 'Astrid Laegreid'}","[5.7458055e-05 8.5095383e-02 6.8432540e-02 5.7458055e-05 5.7458055e-05
 1.4370260e-01 5.7458055e-05 5.9813835e-02 2.3678465e-01 1.9369110e-01
 8.9692026e-02 1.2066191e-03 1.1612273e-01 5.2286834e-03]",68
A multithreaded parallel implementation of a dynamic programming algorithm for sequence comparison.,"W.S. Martins, J.B. Del Cuvillo, F.J. Useche, K.B. Theobald, and G.R. Gao",2001,10.1142/9789814447362_0031,11262951,"{55348084300: 'W. S. Martins', 55664869000: 'Juan B. del Cuvillo', 6507510122: 'Francisco J. Useche', 7004627963: 'Kevin B. Theobald', 7403170980: 'Guangrong Gao'}",,35
Molecular fingerprinting on the SIMD parallel processor Kestrel.,E. Rice and R. Hughey,2001,10.1142/9789814447362_0032,11262952,"{55106581900: 'Eric Rice', 7006104607: 'Richard Hughey'}","[2.6684216e-01 3.0382797e-02 2.4275006e-01 4.4614975e-05 4.4614975e-05
 2.2753638e-03 4.4614975e-05 6.2907115e-03 2.6014990e-01 7.2767027e-02
 1.8292139e-03 4.9076474e-04 5.3984122e-03 1.1068975e-01]",2
Percolation clustering: a novel approach to the clustering of gene expression patterns in Dictyostelium development.,"R. SÃ¡sik, T. Hwa, N. Iranfar, and W.F. Loomis",2001,10.1142/9789814447362_0033,11262953,"{6602731763: 'Roman Å Ã¡Å¡ik', 7003505824: 'Terrance T. Hwa', 6602323670: 'Negin Iranfar', 35370097300: 'William F. Loomis'}",,20
Quality control in manufacturing oligo arrays: a combinatorial design approach.,R. Sengupta and M. Tompa,2001,10.1142/9789814447362_0034,11262954,"{7006487013: 'Rimli Sengupta', 7004634390: 'Martin Tompa'}",,3
Using meta computing tools to facilitate large-scale analyses of biological databases.,"A. Waugh, G.A. Williams, L. Wei, and R.B. Altman",2001,10.1142/9789814447362_0035,11262955,"{7003950252: 'Allison Waugh', 55469222300: 'Glenn A. Williams', 7402950829: 'Li Ping Wei', 7202798518: 'Russ B. Altman'}",,6
Including biological literature improves homology search.,"J.T. Chang, S. Raychaudhuri, and R.B. Altman",2001,10.1142/9789814447362_0037,11262956,"{15768851500: 'Jeffrey T. Chang', 7006375923: 'Soumya Raychaudhuri', 7202798518: 'Russ B. Altman'}","[0.09441409 0.09441409 0.13995142 0.01244687 0.00030358 0.15513054
 0.00030358 0.00030358 0.03673346 0.18548876 0.00030358 0.00030358
 0.07923497 0.20066787]",39
Textquest: document clustering of Medline abstracts for concept discovery in molecular biology.,"I. Iliopoulos, A. J. Enright, and C. A. Ouzounis",2001,10.1142/9789814447362_0038,11262957,"{35837134800: 'Ioannis Iliopoulos', 7004081426: 'Anton J. Enright', 7005683039: 'Christos A. Ouzounis'}",,83
Bidirectional incremental parsing for automatic pathway identification with combinatory categorial grammar.,"J. C. Park, H. S. Kim, and J. J. Kim",2001,10.1142/9789814447362_0039,11262958,"{18537473800: 'Jong C. Park', 57221455444: 'H. S. Kim', 37007768200: 'Jung-jae Kim'}",,105
Event extraction from biomedical papers using a full parser.,"A. Yakushiji, Y. Tateisi, Y. Miyao, and J. Tsujii",2001,10.1142/9789814447362_0040,11262959,"{6505921714: 'Akane Yakushiji', 7801691354: 'Yuka Tateisi', 8967499500: 'Yusuke Miyao', 35461474100: ""Jun'i;chi Jun'ichi Tsujii""}","[4.5792077e-02 5.0634954e-02 1.4211150e-01 5.3809730e-05 5.3809730e-05
 5.3809730e-05 5.3809730e-05 2.2115797e-02 1.4587818e-01 4.8756993e-01
 1.4044339e-02 2.2061989e-03 8.5073180e-02 4.3585883e-03]",181
Using graphical models and genomic expression data to statistically validate models of genetic regulatory networks.,"A.J. Hartemink, D.K. Gifford, T.S. Jaakkola, and R.A. Young",2001,10.1142/9789814447362_0042,11262961,"{7003293117: 'Alexander J. Hartemink', 56541008800: 'David Kenneth Gifford', 7003419235: 'Tommi S. Jaakkola', 7405926028: 'Richard A. Young'}",,294
Reverse engineering of metabolic pathways from observed data using genetic programming.,"J.R. Koza, W. Mydlowec, G. Lanza, J. Yu, and M.A. Keane",2001,10.1142/9789814447362_0043,11262962,"{7004495925: 'John R. Koza', 6508181680: 'William Mydlowec', 7102249523: 'Guido Lanza', 59048634700: 'J. Yu', 7103197971: 'Martin A. Keane'}","[5.49329816e-05 6.81223869e-01 7.80597702e-02 1.15908589e-02
 5.49329816e-05 7.31158033e-02 2.25225207e-03 6.04262808e-04
 1.12667546e-01 2.53241025e-02 5.49329816e-05 6.04262808e-04
 1.43375080e-02 5.49329816e-05]",79
Development of a system for the inference of large scale genetic networks.,"Y. Maki, D. Tominaga, M. Okamoto, S. Watanabe, and Y. Eguchi",2001,10.1142/9789814447362_0044,11262963,"{57531452000: 'Yukihiro Maki', 57189078708: 'Daisuke Tominaga', 7402810538: 'Masahiro Okamoto', 59037425600: 'S. Watanabe', 7103311444: 'Yukihiro Eguchi'}","[6.48340283e-05 4.74001527e-01 1.03150934e-01 5.89989638e-03
 6.48340283e-05 2.49675825e-01 6.48340283e-05 2.08117198e-02
 7.46239573e-02 2.65819486e-03 6.48340283e-05 1.95150413e-02
 3.76685672e-02 1.17349587e-02]",114
Representation and simulation of biochemical processes using the pi-calculus process algebra.,"A. Regev, W. Silverman, and E. Shapiro",2001,10.1142/9789814447362_0045,11262964,"{7006641761: 'Aviv Regev', 7101997040: 'William Silverman', 7202925726: 'Ehud Y. Shapiro'}","[8.3247647e-02 1.9776574e-01 2.8657568e-01 4.6321400e-02 4.6742080e-05
 5.1883711e-03 4.6742080e-05 4.6742080e-05 1.4821914e-01 4.2114612e-02
 4.6742080e-05 4.6742080e-05 1.9028701e-01 4.6742080e-05]",315
Nutrient-related analysis of pathway/genome databases.,P.R. Romero and P. Karp,2001,10.1142/9789814447362_0046,11262965,"{7103404573: 'Pedro R. Romero', 7006431499: 'Peter D. Karp'}","[4.3545961e-02 5.4934490e-01 1.1066366e-01 3.9250430e-02 3.2270189e-02
 5.3694159e-05 5.3694159e-05 4.3492271e-03 1.4551117e-02 9.9924833e-02
 5.9063575e-04 5.3694159e-05 4.3009020e-02 6.2338915e-02]",22
Detecting gene relations from Medline abstracts.,"M. Stephens, M. Palakal, S. Mukhopadhyay, R. Raje, and J. Mostafa",2001,10.1142/9789814447362_0047,11262966,"{57213941433: 'Matthew J. Stephens', 7004193275: 'Mathew J. Palakal', 7401806943: 'Snehasis Mukhopadhyay', 6701688211: 'Rajeev R. Raje', 6701721684: 'Javed Mostafa'}","[1.0521097e-02 6.6707060e-02 7.7173077e-02 6.9461271e-02 5.5084278e-05
 9.4800048e-02 1.3826154e-02 1.7131211e-02 1.1622783e-02 3.8895008e-01
 1.5478683e-02 5.5084278e-05 2.1598546e-01 1.8232895e-02]",85
On reporting fold differences.,"C.L. Tsien, T.A. Libermann, X. Gu, and I.S. Kohane",2001,10.1142/9789814447362_0048,11262967,"{35453430700: 'Christine L. Tsien', 7006148994: 'Towia Aron Libermann', 57197165635: 'X. Gu', 35264289500: 'Isaac S. Kohane'}","[4.3530300e-02 2.6521355e-02 9.5817059e-02 1.5182058e-02 8.2524884e-03
 3.5662088e-01 6.2996092e-05 3.2071310e-01 4.0380497e-02 6.2996092e-05
 6.2996092e-05 6.9295702e-04 1.0772333e-02 8.1327960e-02]",17
A comparison of genetic network models.,"L.F.A. Wessels, E.P. Van Someren, and M.J.T. Reinders",2001,10.1142/9789814447362_0049,11262968,"{6603692712: 'Lodewyk F.A. Wessels', 7003676064: 'Eugene P. van Someren', 7006221053: 'Marcel Jt T. Reinders'}","[2.0989045e-03 3.2819697e-01 3.6398076e-02 5.1192794e-05 1.0750486e-03
 2.3707382e-01 2.1552164e-02 2.1040237e-02 2.4270503e-01 1.1313607e-02
 7.6840386e-02 5.1192794e-05 2.1552164e-02 5.1192794e-05]",127
"PIES, a protein interaction extraction system.",L. Wong,2001,10.1142/9789814447362_0050,11262970,{7402091831: 'Limsoon Wong'},"[5.3838699e-05 5.9222570e-04 4.6845052e-01 1.1742221e-01 5.3838699e-05
 5.3838699e-05 5.3838699e-05 5.3838699e-05 1.3034350e-01 2.1487024e-01
 5.3838699e-05 5.3838699e-05 6.7890599e-02 5.3838699e-05]",60
Simulating the growth of viruses.,L. You and J. Yin,2001,10.1142/9789814447362_0051,11262971,"{8579615600: 'Lingchong You', 7401693477: 'John Yin'}","[1.5376759e-02 4.3923056e-01 9.0274625e-02 1.6511574e-02 5.6740810e-05
 9.0274625e-02 1.1915569e-03 5.6740810e-05 1.3107127e-02 2.7859736e-02
 5.6740810e-05 6.2982300e-03 2.0318884e-01 9.6516117e-02]",8
Scaling of accuracy in extremely large phylogenetic trees.,"O.R.P. Bininda-Emonds, S.G. Brady, J. Kim, and M.J. Sanderson",2001,10.1142/9789814447362_0053,11262972,"{35582350000: 'Olaf R.P. Bininda-Emonds', 57209946030: 'SeÃ¡n Gary Brady', 57211616263: 'J. Kim', 7202315597: 'Michael J. Sanderson'}","[5.5538169e-03 6.7349806e-02 4.3882977e-02 7.8222780e-05 3.3714015e-02
 3.4425846e-01 7.8222780e-05 7.8222780e-05 3.7241864e-01 5.5538169e-03
 1.6426783e-03 7.8222780e-05 7.8222780e-05 1.2523466e-01]",51
Exact algorithms for computing pairwise alignments and 3-medians from structure-annotated sequences (extended abstract).,P.A. Evans and H.T. Wareham,2001,10.1142/9789814447362_0054,11262973,"{14041622000: 'Patricia A. Evans', 6602596790: 'Todd H. Wareham'}",,7
A tree obscured by vines: horizontal gene transfer and the median tree method of estimating species phylogeny.,J. Kim and B.A. Salisbury,2001,10.1142/9789814447362_0055,11262974,"{57191687673: 'J. Kim', 6603811450: 'Benjamin A. Salisbury'}",,10
A new implementation and detailed study of breakpoint analysis.,"B.M.E. Moret, S. Wyman, D.A. Bader, T. Warnow, and M. Yan",2001,10.1142/9789814447362_0056,11262975,"{24352852800: 'Bernard M.E. Moret', 57197140466: 'Stacia K. Wyman', 7102450485: 'David A. Bader', 55109110400: 'Tandy J. Warnow', 58834558700: 'Mi Yan'}","[3.7307866e-05 6.1222211e-02 2.5779735e-02 3.7307866e-05 3.7307866e-05
 1.3919565e-01 3.7307866e-05 3.7307866e-05 7.1895987e-01 5.2604093e-03
 3.7307866e-05 3.7307866e-05 3.7307866e-05 4.9283694e-02]",123
A new algorithm for analysis of within-host HIV-1 evolution.,"F. Ren, S. Ogishima, and H. Tanaka",2001,10.1142/9789814447362_0057,11262976,"{7202066509: 'Fengrong Ren', 6507241005: 'Soichi Ogishima', 55567208800: 'Hiroshi Tanaka'}","[3.0682020e-02 8.9976602e-05 5.1376641e-02 5.4885726e-03 2.8882489e-02
 3.1770739e-01 8.9976602e-05 8.9976602e-05 2.9251394e-01 8.9976602e-05
 9.8974269e-04 1.3586467e-02 5.8574770e-02 1.9983804e-01]",9
Efficiencies of genes and accuracy of tree-building methods in recovering a known Drosophila genealogy.,"J.E. Steinbachs, N.V. Schizas, and J.W.O. Ballard",2001,10.1142/9789814447362_0058,11262978,"{7801490705: 'J. E. Steinbachs', 24339481700: 'Nikolaos V. Schizas', 7102517669: 'J. William O. Ballard'}",,7
A stability based method for discovering structure in clustered data.,"A. Ben-Hur, A. Elisseeff, and I. Guyon",2002,10.1142/9789812799623_0002,11928511,"{55666578900: 'Asa Ben Hur', 55967867500: 'André Elisseeff', 6603114322: 'Isabelle M. Guyon'}","[5.5367444e-03 3.1618927e-02 3.6652330e-02 4.5758217e-05 4.5758217e-05
 2.2929442e-01 5.0334039e-04 2.1648212e-01 4.1964859e-01 1.5145969e-02
 1.6976297e-02 1.4185046e-03 2.6585523e-02 4.5758217e-05]",443
